transport_type,km_per_day,food_type,kg_food_per_day,energy_source,kwh_per_day,flights_per_year,flight_km_total,waste_co2_monthly,clothing_co2_monthly,grocery_bill_monthly,energy_efficient,monthly_co2_kg
car_petrol,245.83,vegetables,0.9,natural_gas,5.33,1,2000.0,34.64,8.33,167.0,0,212.08
bus,28.07,dairy,0.75,coal,5.44,1,2000.0,12.99,28.33,64.0,0,135.08
bus,55.2,vegetables,0.9,coal,4.56,4,8000.0,12.99,30.0,216.0,0,154.25
bus,56.2,dairy,0.75,coal,3.62,0,0.0,34.64,20.83,91.0,1,115.25
bicycle,2.3,vegetables,0.9,natural_gas,3.25,1,2000.0,8.66,30.0,235.0,0,136.08
bus,24.57,vegetables,0.9,coal,5.0,8,16000.0,25.98,25.0,251.0,0,224.5
car_petrol,208.67,vegetables,0.9,grid_eu,4.68,8,16000.0,75.78,14.17,131.0,0,334.08
car_petrol,109.03,fish,0.15,natural_gas,4.88,1,2000.0,90.93,9.17,173.0,0,224.67
car_diesel,291.8,vegetables,0.9,natural_gas,5.27,4,8000.0,51.96,2.5,131.0,0,329.92
bicycle,0.5,dairy,0.75,natural_gas,3.64,4,8000.0,30.31,2.5,184.0,0,200.33
car_petrol,291.03,dairy,0.75,natural_gas,6.39,0,0.0,25.98,31.67,283.0,1,445.5
bus,52.4,dairy,0.75,coal,4.84,4,8000.0,17.32,35.0,276.0,1,171.58
bus,33.47,dairy,0.75,coal,4.39,4,8000.0,2.17,22.5,115.0,0,114.42
car_petrol,331.2,chicken,0.15,coal,3.43,8,16000.0,2.17,33.33,228.0,0,409.5
bicycle,2.9,dairy,0.75,natural_gas,4.38,1,2000.0,17.32,34.17,97.0,0,127.17
bicycle,0.33,chicken,0.15,coal,3.64,1,2000.0,21.65,7.5,60.0,1,134.58
bicycle,0.27,dairy,0.75,natural_gas,4.17,1,2000.0,15.16,14.17,109.0,0,92.25
bicycle,2.43,vegetables,0.9,grid_eu,4.7,0,0.0,15.16,3.33,254.0,0,77.08
bus,21.43,fish,0.15,coal,4.45,4,8000.0,25.98,1.67,104.0,0,212.33
bus,11.43,fish,0.15,grid_eu,4.78,4,8000.0,25.98,27.5,83.0,0,165.5
bicycle,2.0,chicken,0.15,grid_eu,3.04,4,8000.0,17.32,18.33,162.0,0,120.67
bicycle,0.53,dairy,0.75,grid_eu,4.44,8,16000.0,6.5,32.5,181.0,1,161.33
car_petrol,322.87,fish,0.15,grid_eu,4.84,8,16000.0,90.93,38.33,92.0,1,561.5
car_ev,189.13,vegetables,0.9,coal,4.37,4,8000.0,6.5,17.5,125.0,0,150.75
bus,47.5,dairy,0.75,grid_eu,3.79,0,0.0,17.32,19.17,150.0,0,74.75
bus,10.53,vegetables,0.9,grid_eu,5.4,0,0.0,12.99,30.83,73.0,0,81.83
car_petrol,129.37,chicken,0.15,coal,5.35,0,0.0,17.32,28.33,186.0,0,180.5
car_petrol,33.97,dairy,0.75,coal,4.64,1,2000.0,15.16,30.83,273.0,0,160.08
car_petrol,94.17,chicken,0.15,coal,5.01,4,8000.0,51.96,8.33,74.0,0,181.67
bicycle,2.9,chicken,0.15,coal,6.21,1,2000.0,2.17,20.83,290.0,1,122.33
bicycle,1.87,fish,0.15,grid_eu,4.24,1,2000.0,60.62,16.67,117.0,0,149.42
bus,47.57,fish,0.15,grid_eu,4.55,1,2000.0,8.66,16.67,136.0,0,106.42
car_petrol,179.33,vegetables,0.9,coal,4.39,4,8000.0,10.82,11.67,289.0,1,354.58
bus,29.33,fish,0.15,coal,4.37,4,8000.0,6.5,32.5,291.0,0,196.0
bus,49.6,chicken,0.15,grid_eu,4.75,4,8000.0,6.5,20.83,175.0,1,132.67
bicycle,1.83,chicken,0.15,coal,4.89,8,16000.0,60.62,28.33,193.0,0,304.75
bicycle,1.23,chicken,0.15,coal,3.81,8,16000.0,30.31,38.33,288.0,1,224.42
bicycle,0.23,chicken,0.15,coal,4.96,8,16000.0,17.32,39.17,248.0,0,213.17
car_petrol,322.13,dairy,0.75,natural_gas,5.08,8,16000.0,4.33,18.33,272.0,1,374.75
bicycle,1.67,chicken,0.15,coal,5.85,0,0.0,15.16,30.83,239.0,1,186.75
car_petrol,45.43,chicken,0.15,grid_eu,5.21,1,2000.0,90.93,5.83,92.0,0,119.5
bus,55.47,vegetables,0.9,grid_eu,2.92,1,2000.0,8.66,29.17,298.0,1,91.75
bus,37.0,vegetables,0.9,coal,3.45,1,2000.0,17.32,40.83,95.0,0,151.33
car_petrol,241.43,dairy,0.75,coal,5.15,0,0.0,43.3,5.83,176.0,1,297.92
bus,11.23,vegetables,0.9,coal,5.51,4,8000.0,8.66,5.83,200.0,0,124.92
bicycle,2.93,vegetables,0.9,grid_eu,5.36,4,8000.0,21.65,36.67,65.0,0,141.92
car_petrol,299.23,fish,0.15,coal,3.66,8,16000.0,8.66,15.83,180.0,1,472.25
bicycle,2.13,fish,0.15,grid_eu,4.66,1,2000.0,60.62,24.17,131.0,1,157.0
bicycle,1.67,dairy,0.75,natural_gas,6.12,8,16000.0,45.47,18.33,69.0,0,255.0
bicycle,3.17,fish,0.15,grid_eu,5.39,8,16000.0,17.32,21.67,199.0,0,167.42
car_petrol,161.4,vegetables,0.9,natural_gas,4.86,8,16000.0,15.16,34.17,119.0,0,274.92
bicycle,2.0,dairy,0.75,grid_eu,4.07,4,8000.0,90.93,26.67,155.0,0,189.75
bus,47.87,chicken,0.15,coal,3.4,8,16000.0,17.32,28.33,117.0,0,274.58
car_petrol,243.33,vegetables,0.9,coal,4.71,4,8000.0,6.5,31.67,59.0,0,382.0
bicycle,0.6,fish,0.15,natural_gas,5.72,4,8000.0,75.78,0.83,146.0,0,198.67
bus,38.43,chicken,0.15,grid_eu,4.15,0,0.0,8.66,11.67,222.0,0,73.0
car_diesel,44.5,fish,0.15,natural_gas,4.91,8,16000.0,45.47,32.5,198.0,0,338.58
bicycle,2.17,fish,0.15,coal,4.05,0,0.0,17.32,10.0,206.0,0,97.0
bus,59.43,vegetables,0.9,coal,5.03,0,0.0,106.09,30.0,227.0,0,177.42
bicycle,1.03,vegetables,0.9,natural_gas,4.06,8,16000.0,25.98,25.83,142.0,1,182.75
bus,10.3,dairy,0.75,natural_gas,3.74,4,8000.0,30.31,16.67,188.0,0,150.08
bus,63.13,chicken,0.15,coal,4.21,8,16000.0,34.64,27.5,215.0,0,283.67
car_petrol,270.37,vegetables,0.9,coal,5.43,1,2000.0,25.98,5.0,169.0,0,195.58
car_petrol,127.5,dairy,0.75,natural_gas,4.14,8,16000.0,6.5,28.33,145.0,0,238.67
bus,47.47,fish,0.15,coal,4.13,0,0.0,25.98,1.67,235.0,0,108.5
car_petrol,156.17,chicken,0.15,coal,3.38,8,16000.0,30.31,28.33,235.0,0,280.83
bus,14.87,dairy,0.75,coal,4.34,0,0.0,34.64,36.67,198.0,0,171.42
car_petrol,226.93,dairy,0.75,grid_eu,4.77,8,16000.0,106.09,2.5,131.0,1,295.75
car_petrol,215.63,chicken,0.15,natural_gas,3.58,4,8000.0,25.98,17.5,158.0,1,316.0
bus,57.83,vegetables,0.9,coal,4.86,8,16000.0,90.93,18.33,291.0,0,241.42
bus,3.1,chicken,0.15,grid_eu,5.43,0,0.0,30.31,1.67,65.0,0,80.08
bicycle,0.5,dairy,0.75,grid_eu,3.57,1,2000.0,4.33,22.5,73.0,0,85.25
car_ev,294.93,dairy,0.75,coal,3.47,0,0.0,25.98,39.17,223.0,0,172.5
bicycle,0.37,vegetables,0.9,coal,4.04,0,0.0,17.32,7.5,118.0,0,88.25
bus,56.33,dairy,0.75,coal,2.86,4,8000.0,17.32,28.33,223.0,1,185.0
bus,57.47,vegetables,0.9,grid_eu,3.34,4,8000.0,30.31,7.5,145.0,0,158.08
bicycle,3.17,fish,0.15,grid_eu,4.0,1,2000.0,30.31,27.5,237.0,1,167.25
car_petrol,196.73,vegetables,0.9,grid_eu,3.94,0,0.0,90.93,23.33,50.0,1,196.42
bicycle,0.1,chicken,0.15,grid_eu,4.73,0,0.0,25.98,20.0,164.0,0,82.5
car_ev,96.1,fish,0.15,grid_eu,4.74,8,16000.0,17.32,35.83,277.0,0,180.08
bicycle,0.4,chicken,0.15,natural_gas,3.64,1,2000.0,30.31,19.17,275.0,1,133.58
bicycle,1.7,fish,0.15,coal,4.75,8,16000.0,34.64,15.0,204.0,1,216.0
bicycle,1.0,dairy,0.75,natural_gas,4.58,1,2000.0,30.31,6.67,192.0,0,95.67
bicycle,0.37,fish,0.15,natural_gas,5.63,8,16000.0,90.93,12.5,290.0,1,266.17
car_petrol,94.3,vegetables,0.9,grid_eu,4.7,4,8000.0,15.16,1.67,195.0,0,214.42
car_ev,298.27,dairy,0.75,coal,6.21,0,0.0,43.3,5.0,280.0,1,121.67
bus,4.57,chicken,0.15,coal,3.29,0,0.0,17.32,29.17,291.0,0,154.83
bus,24.77,chicken,0.15,coal,3.71,8,16000.0,60.62,5.0,177.0,1,327.42
car_diesel,18.43,vegetables,0.9,coal,2.89,4,8000.0,45.47,11.67,188.0,0,160.75
car_diesel,6.0,dairy,0.75,coal,4.29,8,16000.0,8.66,32.5,126.0,0,268.92
bus,15.1,chicken,0.15,coal,2.96,1,2000.0,75.78,6.67,283.0,0,192.08
bus,46.67,dairy,0.75,natural_gas,3.79,4,8000.0,45.47,39.17,241.0,1,228.58
bicycle,1.4,chicken,0.15,natural_gas,4.36,1,2000.0,25.98,15.83,59.0,0,120.17
bicycle,2.43,chicken,0.15,natural_gas,4.54,1,2000.0,51.96,38.33,72.0,0,131.33
bicycle,1.43,chicken,0.15,grid_eu,4.69,8,16000.0,17.32,8.33,282.0,0,205.75
car_ev,317.13,fish,0.15,coal,6.19,1,2000.0,10.82,40.0,211.0,0,134.67
bicycle,2.47,chicken,0.15,coal,5.03,1,2000.0,15.16,29.17,148.0,0,142.83
car_petrol,104.9,vegetables,0.9,grid_eu,3.86,0,0.0,4.33,38.33,57.0,0,135.5
bicycle,0.2,dairy,0.75,coal,4.27,8,16000.0,34.64,5.0,201.0,0,221.83
bicycle,2.83,chicken,0.15,grid_eu,2.85,0,0.0,4.33,1.67,154.0,1,40.42
bicycle,1.53,fish,0.15,grid_eu,4.54,0,0.0,8.66,5.0,265.0,0,51.92
bicycle,1.23,dairy,0.75,natural_gas,4.54,4,8000.0,34.64,9.17,141.0,1,155.58
car_petrol,313.6,chicken,0.15,grid_eu,5.07,4,8000.0,60.62,19.17,160.0,0,398.92
bicycle,1.9,chicken,0.15,coal,5.04,0,0.0,12.99,30.83,155.0,1,102.75
bicycle,0.73,vegetables,0.9,coal,3.35,4,8000.0,51.96,37.5,161.0,0,191.08
bus,8.1,chicken,0.15,coal,4.23,1,2000.0,12.99,20.0,242.0,0,100.5
car_ev,4.07,chicken,0.15,natural_gas,4.69,8,16000.0,12.99,1.67,186.0,0,206.17
bus,34.33,fish,0.15,coal,4.19,8,16000.0,15.16,2.5,198.0,0,160.17
bicycle,0.67,chicken,0.15,coal,4.82,4,8000.0,75.78,34.17,279.0,0,222.67
car_diesel,114.27,fish,0.15,natural_gas,2.96,4,8000.0,12.99,15.83,90.0,1,223.25
bicycle,1.6,chicken,0.15,coal,3.3,0,0.0,34.64,10.0,222.0,1,159.0
bicycle,1.03,chicken,0.15,grid_eu,3.92,0,0.0,17.32,10.0,297.0,1,105.33
car_diesel,37.4,vegetables,0.9,coal,4.11,1,2000.0,30.31,8.33,105.0,1,108.5
bus,12.63,chicken,0.15,natural_gas,4.78,1,2000.0,8.66,18.33,148.0,1,112.75
car_petrol,221.5,chicken,0.15,coal,5.27,8,16000.0,51.96,27.5,284.0,0,513.33
car_petrol,274.7,fish,0.15,coal,6.28,4,8000.0,12.99,4.17,248.0,0,390.0
bicycle,1.1,fish,0.15,grid_eu,3.26,0,0.0,6.5,35.83,73.0,1,80.0
car_petrol,42.07,fish,0.15,coal,3.39,4,8000.0,43.3,5.0,87.0,0,169.33
bus,59.23,fish,0.15,coal,5.42,8,16000.0,10.82,7.5,175.0,0,244.17
bus,59.8,chicken,0.15,natural_gas,4.69,4,8000.0,75.78,15.0,150.0,0,190.67
bus,14.0,dairy,0.75,coal,3.07,8,16000.0,34.64,20.0,65.0,0,234.0
bicycle,3.2,chicken,0.15,coal,4.96,1,2000.0,34.64,25.0,88.0,0,139.42
bicycle,1.9,chicken,0.15,coal,4.01,0,0.0,8.66,40.83,127.0,1,82.58
car_petrol,112.07,chicken,0.15,coal,4.84,1,2000.0,106.09,2.5,83.0,1,275.08
bus,48.37,vegetables,0.9,natural_gas,3.61,0,0.0,8.66,20.0,112.0,0,100.83
bicycle,1.2,dairy,0.75,coal,4.76,1,2000.0,30.31,31.67,243.0,0,159.75
car_petrol,65.17,chicken,0.15,coal,5.0,8,16000.0,34.64,15.0,173.0,0,272.33
bicycle,2.27,fish,0.15,natural_gas,4.76,0,0.0,45.47,33.33,260.0,1,143.75
bicycle,3.07,vegetables,0.9,grid_eu,4.29,8,16000.0,60.62,2.5,72.0,0,153.42
bicycle,1.83,vegetables,0.9,grid_eu,5.01,8,16000.0,4.33,1.67,255.0,0,154.42
car_petrol,329.83,chicken,0.15,natural_gas,4.69,8,16000.0,51.96,3.33,75.0,0,494.58
bus,40.63,vegetables,0.9,coal,4.84,1,2000.0,43.3,38.33,243.0,1,198.5
car_petrol,99.07,fish,0.15,coal,4.3,4,8000.0,10.82,13.33,244.0,0,219.58
car_ev,41.53,fish,0.15,grid_eu,4.92,0,0.0,30.31,27.5,138.0,0,95.08
bicycle,1.73,dairy,0.75,natural_gas,3.87,1,2000.0,4.33,35.83,232.0,0,121.67
bicycle,1.13,dairy,0.75,grid_eu,5.86,8,16000.0,12.99,12.5,131.0,0,165.92
bicycle,1.4,vegetables,0.9,coal,5.87,0,0.0,12.99,0.83,113.0,0,65.25
bus,9.87,vegetables,0.9,natural_gas,4.19,8,16000.0,30.31,25.0,177.0,1,294.67
car_petrol,327.73,chicken,0.15,grid_eu,3.99,8,16000.0,10.82,14.17,253.0,1,311.5
bicycle,1.67,chicken,0.15,coal,4.29,1,2000.0,12.99,35.83,107.0,1,137.5
bicycle,0.07,chicken,0.15,coal,3.19,8,16000.0,12.99,0.83,262.0,0,163.25
bicycle,0.2,fish,0.15,grid_eu,4.15,8,16000.0,106.09,15.83,206.0,0,248.83
bicycle,0.8,vegetables,0.9,natural_gas,4.84,0,0.0,25.98,26.67,212.0,0,169.42
bicycle,1.07,chicken,0.15,coal,5.29,4,8000.0,25.98,13.33,276.0,1,181.33
car_petrol,302.37,chicken,0.15,grid_eu,4.89,8,16000.0,17.32,9.17,178.0,0,337.5
car_petrol,53.9,vegetables,0.9,coal,4.77,8,16000.0,17.32,11.67,187.0,0,245.58
bicycle,1.8,fish,0.15,coal,3.99,1,2000.0,34.64,7.5,58.0,0,89.17
car_petrol,312.83,vegetables,0.9,grid_eu,4.83,8,16000.0,8.66,34.17,257.0,0,454.08
bus,14.4,fish,0.15,grid_eu,4.87,0,0.0,17.32,14.17,205.0,0,96.58
bus,0.87,chicken,0.15,coal,5.33,4,8000.0,12.99,37.5,84.0,0,167.58
car_petrol,139.83,vegetables,0.9,coal,5.05,1,2000.0,8.66,35.83,166.0,1,285.17
car_diesel,311.53,fish,0.15,natural_gas,5.37,8,16000.0,4.33,11.67,99.0,0,366.75
bus,45.47,chicken,0.15,coal,5.17,0,0.0,15.16,14.17,108.0,0,123.67
bicycle,2.13,vegetables,0.9,coal,4.9,1,2000.0,21.65,5.0,130.0,0,126.67
bicycle,2.47,vegetables,0.9,grid_eu,6.4,4,8000.0,30.31,35.0,171.0,1,173.25
bus,14.93,chicken,0.15,natural_gas,5.25,0,0.0,25.98,35.83,100.0,1,132.17
car_diesel,299.17,fish,0.15,coal,4.53,8,16000.0,25.98,25.0,120.0,0,456.42
car_ev,22.03,dairy,0.75,grid_eu,2.93,8,16000.0,2.17,17.5,180.0,1,183.92
car_petrol,71.6,dairy,0.75,natural_gas,4.46,1,2000.0,17.32,10.0,190.0,0,199.08
bicycle,3.17,dairy,0.75,coal,5.08,8,16000.0,30.31,6.67,293.0,0,226.33
car_petrol,263.1,fish,0.15,coal,5.76,4,8000.0,10.82,40.0,64.0,1,326.92
car_petrol,289.7,dairy,0.75,coal,3.41,1,2000.0,8.66,21.67,183.0,1,201.75
bus,38.63,fish,0.15,natural_gas,3.05,8,16000.0,25.98,15.0,230.0,0,194.5
bicycle,0.43,vegetables,0.9,coal,4.65,1,2000.0,8.66,21.67,209.0,0,155.5
bus,59.93,dairy,0.75,coal,4.29,4,8000.0,17.32,1.67,176.0,0,140.0
bicycle,2.23,vegetables,0.9,coal,3.82,8,16000.0,30.31,40.0,180.0,0,246.5
bus,55.33,dairy,0.75,grid_eu,3.94,8,16000.0,30.31,31.67,100.0,1,225.08
bus,21.8,fish,0.15,coal,4.56,4,8000.0,17.32,3.33,238.0,1,156.42
car_diesel,324.07,vegetables,0.9,coal,5.36,8,16000.0,6.5,17.5,166.0,0,432.17
bus,42.1,dairy,0.75,coal,5.53,1,2000.0,8.66,39.17,201.0,1,137.0
bus,20.0,fish,0.15,coal,4.18,1,2000.0,4.33,1.67,263.0,0,96.0
bicycle,0.27,fish,0.15,coal,4.79,1,2000.0,12.99,33.33,286.0,0,134.25
bus,51.2,chicken,0.15,coal,4.76,1,2000.0,106.09,41.67,214.0,0,214.92
bicycle,1.67,vegetables,0.9,grid_eu,3.25,0,0.0,8.66,5.83,113.0,0,49.17
bicycle,2.2,vegetables,0.9,coal,5.37,8,16000.0,34.64,17.5,73.0,1,257.75
bus,53.37,dairy,0.75,natural_gas,4.48,0,0.0,25.98,25.83,243.0,1,137.25
car_ev,200.73,vegetables,0.9,natural_gas,5.95,0,0.0,90.93,10.0,74.0,1,166.83
car_ev,227.53,chicken,0.15,grid_eu,3.48,8,16000.0,60.62,21.67,212.0,1,266.42
car_petrol,327.97,vegetables,0.9,coal,4.39,0,0.0,4.33,30.83,238.0,1,327.58
bus,20.6,vegetables,0.9,grid_eu,4.49,4,8000.0,60.62,14.17,232.0,0,180.5
car_ev,225.83,fish,0.15,grid_eu,4.66,1,2000.0,6.5,24.17,132.0,0,97.67
car_petrol,193.07,fish,0.15,natural_gas,3.85,0,0.0,4.33,15.83,275.0,1,153.83
bicycle,2.93,dairy,0.75,coal,5.43,0,0.0,45.47,1.67,166.0,0,112.58
bicycle,1.3,dairy,0.75,grid_eu,6.26,1,2000.0,4.33,16.67,50.0,1,66.92
bicycle,2.27,chicken,0.15,grid_eu,5.02,0,0.0,6.5,34.17,166.0,0,91.5
bus,60.8,dairy,0.75,coal,4.4,4,8000.0,25.98,9.17,253.0,0,146.75
car_ev,225.83,vegetables,0.9,coal,4.14,1,2000.0,15.16,22.5,88.0,0,150.67
bicycle,3.0,vegetables,0.9,grid_eu,4.49,8,16000.0,12.99,24.17,173.0,1,156.08
car_ev,43.83,dairy,0.75,coal,5.05,1,2000.0,21.65,5.83,253.0,0,96.08
bicycle,3.13,fish,0.15,coal,6.28,4,8000.0,12.99,25.83,165.0,0,136.42
bus,64.37,chicken,0.15,coal,5.03,8,16000.0,25.98,9.17,109.0,0,187.08
bus,15.5,fish,0.15,coal,3.41,4,8000.0,25.98,26.67,157.0,0,161.83
bus,25.53,chicken,0.15,coal,5.6,4,8000.0,60.62,25.0,267.0,0,236.33
bicycle,1.47,fish,0.15,coal,4.64,4,8000.0,4.33,0.83,85.0,0,160.67
bus,58.0,vegetables,0.9,natural_gas,4.25,1,2000.0,90.93,20.83,151.0,0,149.0
bus,38.93,fish,0.15,coal,2.81,0,0.0,43.3,15.83,298.0,0,157.25
bicycle,2.07,fish,0.15,coal,3.77,4,8000.0,21.65,35.0,259.0,1,248.58
bicycle,1.8,fish,0.15,grid_eu,4.86,0,0.0,60.62,15.83,253.0,0,126.83
car_petrol,297.37,fish,0.15,natural_gas,5.65,1,2000.0,10.82,29.17,216.0,0,348.67
bicycle,1.07,dairy,0.75,grid_eu,5.07,0,0.0,60.62,1.67,94.0,0,61.42
bus,22.47,fish,0.15,natural_gas,4.19,1,2000.0,8.66,4.17,147.0,0,104.67
bicycle,0.13,chicken,0.15,coal,4.19,1,2000.0,25.98,20.83,123.0,0,146.33
bicycle,0.43,vegetables,0.9,coal,3.79,1,2000.0,15.16,30.0,124.0,0,145.58
car_petrol,130.97,dairy,0.75,grid_eu,4.54,1,2000.0,4.33,2.5,201.0,1,168.33
bus,15.17,vegetables,0.9,coal,5.08,1,2000.0,90.93,19.17,98.0,0,145.0
bus,26.5,vegetables,0.9,grid_eu,4.17,1,2000.0,4.33,39.17,52.0,1,106.75
bicycle,2.77,chicken,0.15,coal,4.09,4,8000.0,34.64,12.5,87.0,0,150.75
car_ev,243.27,fish,0.15,coal,3.21,1,2000.0,17.32,36.67,281.0,1,164.0
bicycle,3.0,dairy,0.75,coal,4.31,0,0.0,17.32,20.83,97.0,1,111.0
bicycle,3.1,dairy,0.75,coal,5.85,0,0.0,34.64,13.33,251.0,1,124.25
bicycle,1.43,chicken,0.15,coal,4.67,1,2000.0,75.78,5.83,246.0,1,171.83
bicycle,0.33,dairy,0.75,coal,5.41,0,0.0,90.93,1.67,107.0,0,151.58
bus,15.03,chicken,0.15,coal,5.57,0,0.0,15.16,25.83,147.0,1,134.58
bicycle,3.07,fish,0.15,coal,3.99,0,0.0,8.66,30.0,175.0,1,130.0
bus,27.47,fish,0.15,grid_eu,5.18,0,0.0,17.32,14.17,268.0,0,95.0
car_petrol,200.37,chicken,0.15,coal,3.93,0,0.0,4.33,28.33,145.0,0,179.33
bicycle,0.27,fish,0.15,grid_eu,3.17,0,0.0,17.32,6.67,171.0,1,64.5
car_ev,219.33,dairy,0.75,natural_gas,5.57,0,0.0,17.32,2.5,237.0,0,114.92
car_ev,123.13,fish,0.15,grid_eu,3.2,1,2000.0,34.64,8.33,262.0,0,125.92
bus,9.57,fish,0.15,coal,3.63,4,8000.0,90.93,5.83,171.0,1,159.17
bicycle,2.9,vegetables,0.9,coal,4.95,0,0.0,45.47,12.5,257.0,0,126.42
bicycle,2.93,chicken,0.15,natural_gas,5.59,0,0.0,10.82,34.17,164.0,1,129.67
car_petrol,245.6,vegetables,0.9,grid_eu,4.81,1,2000.0,45.47,1.67,160.0,0,215.33
bicycle,1.7,dairy,0.75,coal,3.66,4,8000.0,21.65,2.5,70.0,1,154.75
bus,39.5,dairy,0.75,grid_eu,4.51,8,16000.0,17.32,12.5,131.0,0,216.0
bicycle,0.63,vegetables,0.9,coal,5.29,0,0.0,30.31,34.17,153.0,0,112.83
car_petrol,175.57,dairy,0.75,coal,3.76,0,0.0,90.93,36.67,299.0,1,281.33
car_petrol,177.37,fish,0.15,natural_gas,4.29,8,16000.0,8.66,36.67,222.0,0,282.17
bicycle,1.73,dairy,0.75,coal,3.99,0,0.0,8.66,27.5,116.0,0,76.67
bicycle,2.3,fish,0.15,coal,3.46,1,2000.0,25.98,26.67,143.0,0,123.67
bus,58.63,dairy,0.75,coal,4.83,8,16000.0,12.99,0.83,201.0,0,238.42
bicycle,2.7,chicken,0.15,grid_eu,4.66,4,8000.0,43.3,18.33,229.0,0,172.0
bicycle,3.27,vegetables,0.9,natural_gas,3.96,1,2000.0,106.09,9.17,299.0,0,177.67
bus,3.93,vegetables,0.9,grid_eu,3.19,0,0.0,30.31,5.83,191.0,0,72.08
bus,6.4,fish,0.15,coal,5.32,4,8000.0,60.62,9.17,194.0,0,203.0
bus,61.43,vegetables,0.9,grid_eu,5.48,4,8000.0,25.98,11.67,182.0,1,146.42
car_ev,54.5,dairy,0.75,coal,4.34,4,8000.0,25.98,21.67,109.0,1,208.42
bus,48.8,dairy,0.75,coal,4.81,8,16000.0,45.47,1.67,158.0,0,229.42
car_petrol,321.93,chicken,0.15,coal,4.2,1,2000.0,17.32,0.83,83.0,1,184.83
car_petrol,261.43,chicken,0.15,grid_eu,3.53,0,0.0,2.17,21.67,233.0,0,206.92
bus,20.4,dairy,0.75,grid_eu,5.34,8,16000.0,17.32,19.17,246.0,0,175.5
bicycle,1.23,vegetables,0.9,grid_eu,5.84,8,16000.0,43.3,15.0,89.0,0,260.58
car_diesel,140.87,vegetables,0.9,grid_eu,4.52,1,2000.0,15.16,26.67,85.0,0,253.75
bus,8.3,fish,0.15,coal,5.03,4,8000.0,8.66,33.33,189.0,1,168.58
bus,36.9,vegetables,0.9,coal,4.44,0,0.0,43.3,29.17,182.0,0,197.17
bus,56.8,fish,0.15,coal,3.96,8,16000.0,106.09,35.83,218.0,0,327.75
bus,14.0,fish,0.15,coal,4.44,0,0.0,21.65,9.17,58.0,0,97.67
car_petrol,149.07,fish,0.15,coal,5.23,1,2000.0,8.66,1.67,173.0,1,249.08
car_ev,3.37,vegetables,0.9,coal,5.64,0,0.0,30.31,30.0,96.0,0,137.5
bus,33.2,chicken,0.15,coal,6.41,1,2000.0,51.96,24.17,272.0,1,187.92
bus,1.07,vegetables,0.9,coal,3.9,0,0.0,6.5,30.83,115.0,1,110.42
car_diesel,24.87,chicken,0.15,coal,4.1,4,8000.0,51.96,25.0,179.0,0,281.67
car_petrol,87.93,vegetables,0.9,coal,5.69,0,0.0,51.96,20.83,190.0,1,193.17
bicycle,0.3,dairy,0.75,coal,4.38,1,2000.0,4.33,6.67,246.0,0,120.67
bus,63.4,fish,0.15,coal,6.3,8,16000.0,17.32,30.0,140.0,0,298.75
car_petrol,259.6,fish,0.15,coal,4.4,8,16000.0,12.99,29.17,95.0,0,406.83
bus,64.63,dairy,0.75,grid_eu,5.55,4,8000.0,6.5,20.83,233.0,0,125.0
car_ev,83.73,fish,0.15,grid_eu,5.27,4,8000.0,21.65,41.67,227.0,0,167.92
bus,22.87,fish,0.15,coal,3.63,8,16000.0,43.3,33.33,296.0,1,378.5
bicycle,1.37,dairy,0.75,coal,5.36,0,0.0,34.64,34.17,283.0,0,169.17
bicycle,2.27,chicken,0.15,grid_eu,6.4,4,8000.0,75.78,6.67,184.0,0,199.83
bus,14.33,dairy,0.75,natural_gas,5.62,4,8000.0,15.16,34.17,123.0,1,139.83
bus,33.87,dairy,0.75,grid_eu,4.39,8,16000.0,25.98,28.33,225.0,0,224.0
car_petrol,86.57,chicken,0.15,grid_eu,4.98,0,0.0,12.99,28.33,211.0,0,188.25
bicycle,1.8,vegetables,0.9,coal,5.13,8,16000.0,106.09,16.67,276.0,0,273.42
car_petrol,124.3,vegetables,0.9,coal,4.66,4,8000.0,4.33,21.67,50.0,0,296.67
bus,35.57,vegetables,0.9,grid_eu,4.48,8,16000.0,75.78,17.5,66.0,0,173.33
bicycle,0.8,fish,0.15,natural_gas,4.1,4,8000.0,15.16,22.5,109.0,0,129.58
bus,49.97,fish,0.15,coal,6.36,8,16000.0,34.64,8.33,161.0,0,296.25
bus,6.37,chicken,0.15,grid_eu,4.64,1,2000.0,2.17,25.0,207.0,1,91.25
bicycle,1.53,chicken,0.15,natural_gas,3.43,8,16000.0,25.98,17.5,107.0,1,231.42
bicycle,2.2,chicken,0.15,natural_gas,4.24,1,2000.0,15.16,34.17,255.0,1,146.75
bus,60.6,fish,0.15,grid_eu,3.49,0,0.0,106.09,18.33,236.0,0,144.75
bicycle,1.1,fish,0.15,coal,2.82,0,0.0,8.66,20.83,268.0,0,104.58
bus,39.77,fish,0.15,grid_eu,2.65,1,2000.0,12.99,36.67,201.0,0,162.67
bicycle,2.5,fish,0.15,coal,4.87,4,8000.0,17.32,35.0,264.0,0,194.17
bus,57.07,dairy,0.75,coal,4.24,4,8000.0,2.17,30.0,98.0,0,134.75
bicycle,2.17,vegetables,0.9,natural_gas,3.31,8,16000.0,106.09,17.5,295.0,0,252.75
car_ev,253.0,fish,0.15,natural_gas,6.11,1,2000.0,45.47,29.17,190.0,0,209.5
